onet	personality_trait	score
17-1022.01	Realistic	4.33
17-1022.01	Investigative	5.00
17-1022.01	Artistic	1.33
17-1022.01	Social	1.00
17-1022.01	Enterprising	1.67
17-1022.01	Conventional	5.00
17-2011.00	Realistic	5.67
17-2011.00	Investigative	7.00
17-2011.00	Artistic	3.67
17-2011.00	Social	1.33
17-2011.00	Enterprising	2.33
17-2011.00	Conventional	3.00
17-2021.00	Realistic	6.33
17-2021.00	Investigative	6.67
17-2021.00	Artistic	3.00
17-2021.00	Social	1.33
17-2021.00	Enterprising	4.33
17-2021.00	Conventional	3.00
17-2031.00	Realistic	5.67
17-2031.00	Investigative	7.00
17-2031.00	Artistic	2.67
17-2031.00	Social	2.00
17-2031.00	Enterprising	2.33
17-2031.00	Conventional	3.67
17-2041.00	Realistic	6.33
17-2041.00	Investigative	6.67
17-2041.00	Artistic	2.00
17-2041.00	Social	1.00
17-2041.00	Enterprising	3.00
17-2041.00	Conventional	3.67
17-2051.00	Realistic	6.67
17-2051.00	Investigative	6.00
17-2051.00	Artistic	2.67
17-2051.00	Social	1.33
17-2051.00	Enterprising	2.67
17-2051.00	Conventional	4.33
17-2051.01	Realistic	6.67
17-2051.01	Investigative	6.00
17-2051.01	Artistic	2.00
17-2051.01	Social	1.33
17-2051.01	Enterprising	3.33
17-2051.01	Conventional	3.67
17-2061.00	Realistic	6.33
17-2061.00	Investigative	6.67
17-2061.00	Artistic	2.00
17-2061.00	Social	1.00
17-2061.00	Enterprising	2.33
17-2061.00	Conventional	4.33
17-2071.00	Realistic	6.00
17-2071.00	Investigative	6.33
17-2071.00	Artistic	2.00
17-2071.00	Social	1.00
17-2071.00	Enterprising	3.00
17-2071.00	Conventional	3.67
17-2072.00	Realistic	5.67
17-2072.00	Investigative	7.00
17-2072.00	Artistic	4.00
17-2072.00	Social	2.00
17-2072.00	Enterprising	2.67
17-2072.00	Conventional	3.67
17-2072.01	Realistic	6.33
17-2072.01	Investigative	5.33
17-2072.01	Artistic	2.00
17-2072.01	Social	1.00
17-2072.01	Enterprising	2.33
17-2072.01	Conventional	3.67
17-2081.00	Realistic	4.67
17-2081.00	Investigative	7.00
17-2081.00	Artistic	3.00
17-2081.00	Social	1.67
17-2081.00	Enterprising	3.67
17-2081.00	Conventional	4.33
17-2081.01	Realistic	5.67
17-2081.01	Investigative	6.33
17-2081.01	Artistic	2.33
17-2081.01	Social	1.67
17-2081.01	Enterprising	4.00
17-2081.01	Conventional	3.33
17-2111.01	Realistic	5.00
17-2111.01	Investigative	6.33
17-2111.01	Artistic	1.67
17-2111.01	Social	2.67
17-2111.01	Enterprising	3.00
17-2111.01	Conventional	5.33
17-2111.02	Realistic	5.33
17-2111.02	Investigative	6.67
17-2111.02	Artistic	2.00
17-2111.02	Social	2.33
17-2111.02	Enterprising	4.67
17-2111.02	Conventional	4.00
17-2111.03	Realistic	5.67
17-2111.03	Investigative	6.00
17-2111.03	Artistic	1.00
17-2111.03	Social	1.33
17-2111.03	Enterprising	3.33
17-2111.03	Conventional	4.67
17-2112.00	Realistic	4.33
17-2112.00	Investigative	7.00
17-2112.00	Artistic	2.00
17-2112.00	Social	1.33
17-2112.00	Enterprising	4.67
17-2112.00	Conventional	4.67
17-2112.01	Realistic	5.33
17-2112.01	Investigative	6.00
17-2112.01	Artistic	2.33
17-2112.01	Social	2.67
17-2112.01	Enterprising	3.00
17-2112.01	Conventional	3.00
17-2121.01	Realistic	6.00
17-2121.01	Investigative	6.67
17-2121.01	Artistic	2.67
17-2121.01	Social	1.00
17-2121.01	Enterprising	3.67
17-2121.01	Conventional	3.67
17-2121.02	Realistic	5.33
17-2121.02	Investigative	7.00
17-2121.02	Artistic	5.33
17-2121.02	Social	1.33
17-2121.02	Enterprising	2.00
17-2121.02	Conventional	3.00
17-2131.00	Realistic	6.00
17-2131.00	Investigative	7.00
17-2131.00	Artistic	2.67
17-2131.00	Social	1.33
17-2131.00	Enterprising	4.33
17-2131.00	Conventional	3.33
17-2141.00	Realistic	6.33
17-2141.00	Investigative	6.67
17-2141.00	Artistic	2.67
17-2141.00	Social	2.00
17-2141.00	Enterprising	1.67
17-2141.00	Conventional	4.00
17-2141.01	Realistic	6.00
17-2141.01	Investigative	5.67
17-2141.01	Artistic	2.00
17-2141.01	Social	1.67
17-2141.01	Enterprising	3.33
17-2141.01	Conventional	3.00
17-2141.02	Realistic	7.00
17-2141.02	Investigative	6.00
17-2141.02	Artistic	2.33
17-2141.02	Social	1.33
17-2141.02	Enterprising	3.67
17-2141.02	Conventional	3.33
17-2151.00	Realistic	5.67
17-2151.00	Investigative	6.33
17-2151.00	Artistic	1.67
17-2151.00	Social	1.33
17-2151.00	Enterprising	4.33
17-2151.00	Conventional	3.67
17-2161.00	Realistic	5.33
17-2161.00	Investigative	7.00
17-2161.00	Artistic	1.67
17-2161.00	Social	1.00
17-2161.00	Enterprising	2.33
17-2161.00	Conventional	3.67
17-2171.00	Realistic	5.33
17-2171.00	Investigative	6.67
17-2171.00	Artistic	1.67
17-2171.00	Social	1.00
17-2171.00	Enterprising	3.33
17-2171.00	Conventional	5.00
17-2199.01	Realistic	6.00
17-2199.01	Investigative	6.67
17-2199.01	Artistic	2.33
17-2199.01	Social	1.33
17-2199.01	Enterprising	2.67
17-2199.01	Conventional	3.67
17-2199.02	Realistic	5.33
17-2199.02	Investigative	6.00
17-2199.02	Artistic	2.33
17-2199.02	Social	1.33
17-2199.02	Enterprising	2.67
17-2199.02	Conventional	4.33
17-2199.03	Realistic	6.00
17-2199.03	Investigative	7.00
17-2199.03	Artistic	3.00
17-2199.03	Social	1.00
17-2199.03	Enterprising	1.67
17-2199.03	Conventional	3.33
17-2199.04	Realistic	6.67
17-2199.04	Investigative	6.00
17-2199.04	Artistic	2.00
17-2199.04	Social	1.00
17-2199.04	Enterprising	3.33
17-2199.04	Conventional	3.67
17-2199.05	Realistic	5.33
17-2199.05	Investigative	7.00
17-2199.05	Artistic	3.67
17-2199.05	Social	1.00
17-2199.05	Enterprising	1.67
17-2199.05	Conventional	4.00
17-2199.06	Realistic	6.00
17-2199.06	Investigative	7.00
17-2199.06	Artistic	2.33
17-2199.06	Social	1.00
17-2199.06	Enterprising	1.67
17-2199.06	Conventional	4.00
17-2199.07	Realistic	5.33
17-2199.07	Investigative	7.00
17-2199.07	Artistic	4.00
17-2199.07	Social	1.33
17-2199.07	Enterprising	1.67
17-2199.07	Conventional	4.00
17-2199.08	Realistic	6.00
17-2199.08	Investigative	6.67
17-2199.08	Artistic	2.67
17-2199.08	Social	1.00
17-2199.08	Enterprising	1.67
17-2199.08	Conventional	4.00
17-2199.09	Realistic	5.00
17-2199.09	Investigative	6.67
17-2199.09	Artistic	2.67
17-2199.09	Social	1.33
17-2199.09	Enterprising	4.67
17-2199.09	Conventional	3.00
17-2199.10	Realistic	6.00
17-2199.10	Investigative	4.33
17-2199.10	Artistic	2.00
17-2199.10	Social	1.33
17-2199.10	Enterprising	4.00
17-2199.10	Conventional	3.33
17-2199.11	Realistic	6.33
17-2199.11	Investigative	5.67
17-2199.11	Artistic	2.00
17-2199.11	Social	1.33
17-2199.11	Enterprising	3.33
17-2199.11	Conventional	3.33
17-3011.01	Realistic	5.33
17-3011.01	Investigative	4.67
17-3011.01	Artistic	5.67
17-3011.01	Social	1.33
17-3011.01	Enterprising	2.33
17-3011.01	Conventional	4.33
17-3011.02	Realistic	6.33
17-3011.02	Investigative	4.00
17-3011.02	Artistic	3.67
17-3011.02	Social	1.33
17-3011.02	Enterprising	2.00
17-3011.02	Conventional	6.00
17-3012.01	Realistic	5.33
17-3012.01	Investigative	4.33
17-3012.01	Artistic	4.00
17-3012.01	Social	1.67
17-3012.01	Enterprising	1.67
17-3012.01	Conventional	6.00
17-3012.02	Realistic	6.00
17-3012.02	Investigative	4.67
17-3012.02	Artistic	3.33
17-3012.02	Social	1.33
17-3012.02	Enterprising	2.00
17-3012.02	Conventional	4.67
17-3013.00	Realistic	6.67
17-3013.00	Investigative	4.00
17-3013.00	Artistic	3.33
17-3013.00	Social	1.00
17-3013.00	Enterprising	2.33
17-3013.00	Conventional	4.00
17-3021.00	Realistic	6.67
17-3021.00	Investigative	6.00
17-3021.00	Artistic	1.67
17-3021.00	Social	1.33
17-3021.00	Enterprising	2.33
17-3021.00	Conventional	5.00
17-3022.00	Realistic	6.00
17-3022.00	Investigative	5.00
17-3022.00	Artistic	2.67
17-3022.00	Social	1.00
17-3022.00	Enterprising	2.33
17-3022.00	Conventional	5.33
17-3023.01	Realistic	6.67
17-3023.01	Investigative	5.67
17-3023.01	Artistic	2.00
17-3023.01	Social	1.00
17-3023.01	Enterprising	2.67
17-3023.01	Conventional	3.67
17-3023.03	Realistic	7.00
17-3023.03	Investigative	6.00
17-3023.03	Artistic	2.33
17-3023.03	Social	1.00
17-3023.03	Enterprising	2.33
17-3023.03	Conventional	4.33
17-3024.00	Realistic	7.00
17-3024.00	Investigative	5.33
17-3024.00	Artistic	2.33
17-3024.00	Social	1.33
17-3024.00	Enterprising	1.33
17-3024.00	Conventional	5.00
17-3024.01	Realistic	6.67
17-3024.01	Investigative	4.33
17-3024.01	Artistic	2.00
17-3024.01	Social	1.00
17-3024.01	Enterprising	1.67
17-3024.01	Conventional	3.00
17-3025.00	Realistic	7.00
17-3025.00	Investigative	5.67
17-3025.00	Artistic	1.67
17-3025.00	Social	1.00
17-3025.00	Enterprising	2.00
17-3025.00	Conventional	5.33
17-3026.00	Realistic	5.00
17-3026.00	Investigative	6.33
17-3026.00	Artistic	1.67
17-3026.00	Social	1.33
17-3026.00	Enterprising	3.33
17-3026.00	Conventional	5.00
17-3027.00	Realistic	6.00
17-3027.00	Investigative	6.00
17-3027.00	Artistic	3.33
17-3027.00	Social	1.00
17-3027.00	Enterprising	1.67
17-3027.00	Conventional	3.67
17-3027.01	Realistic	6.67
17-3027.01	Investigative	3.67
17-3027.01	Artistic	1.33
17-3027.01	Social	1.33
17-3027.01	Enterprising	2.67
17-3027.01	Conventional	3.67
17-3029.01	Realistic	6.67
17-3029.01	Investigative	6.33
17-3029.01	Artistic	1.67
17-3029.01	Social	1.00
17-3029.01	Enterprising	2.67
17-3029.01	Conventional	4.33
17-3029.02	Realistic	6.67
17-3029.02	Investigative	5.33
17-3029.02	Artistic	2.00
17-3029.02	Social	1.33
17-3029.02	Enterprising	2.67
17-3029.02	Conventional	4.00
17-3029.03	Realistic	6.00
17-3029.03	Investigative	6.00
17-3029.03	Artistic	3.00
17-3029.03	Social	1.00
17-3029.03	Enterprising	2.33
17-3029.03	Conventional	4.33
17-3029.04	Realistic	6.33
17-3029.04	Investigative	6.00
17-3029.04	Artistic	1.67
17-3029.04	Social	1.00
17-3029.04	Enterprising	2.33
17-3029.04	Conventional	4.00
17-3029.05	Realistic	5.33
17-3029.05	Investigative	6.00
17-3029.05	Artistic	2.67
17-3029.05	Social	1.00
17-3029.05	Enterprising	2.00
17-3029.05	Conventional	5.33
17-3029.06	Realistic	6.33
17-3029.06	Investigative	5.67
17-3029.06	Artistic	2.00
17-3029.06	Social	1.00
17-3029.06	Enterprising	2.67
17-3029.06	Conventional	4.67
17-3029.07	Realistic	6.67
17-3029.07	Investigative	5.00
17-3029.07	Artistic	1.67
17-3029.07	Social	1.33
17-3029.07	Enterprising	2.67
17-3029.07	Conventional	3.67
17-3029.08	Realistic	7.00
17-3029.08	Investigative	5.33
17-3029.08	Artistic	2.33
17-3029.08	Social	1.00
17-3029.08	Enterprising	1.33
17-3029.08	Conventional	4.00
17-3029.09	Realistic	7.00
17-3029.09	Investigative	3.33
17-3029.09	Artistic	1.33
17-3029.09	Social	1.33
17-3029.09	Enterprising	2.00
17-3029.09	Conventional	3.00
17-3029.10	Realistic	7.00
17-3029.10	Investigative	3.33
17-3029.10	Artistic	1.33
17-3029.10	Social	1.33
17-3029.10	Enterprising	3.00
17-3029.10	Conventional	4.33
17-3029.11	Realistic	6.00
17-3029.11	Investigative	4.67
17-3029.11	Artistic	1.67
17-3029.11	Social	1.33
17-3029.11	Enterprising	2.00
17-3029.11	Conventional	4.33
17-3029.12	Realistic	6.00
17-3029.12	Investigative	3.33
17-3029.12	Artistic	1.33
17-3029.12	Social	1.33
17-3029.12	Enterprising	2.00
17-3029.12	Conventional	4.33
17-3031.01	Realistic	5.67
17-3031.01	Investigative	3.33
17-3031.01	Artistic	2.00
17-3031.01	Social	1.00
17-3031.01	Enterprising	2.00
17-3031.01	Conventional	5.67
17-3031.02	Realistic	4.33
17-3031.02	Investigative	3.00
17-3031.02	Artistic	1.67
17-3031.02	Social	1.00
17-3031.02	Enterprising	1.67
17-3031.02	Conventional	6.67
19-1011.00	Realistic	5.33
19-1011.00	Investigative	7.00
19-1011.00	Artistic	2.33
19-1011.00	Social	1.00
19-1011.00	Enterprising	2.00
19-1011.00	Conventional	3.00
19-1012.00	Realistic	5.33
19-1012.00	Investigative	7.00
19-1012.00	Artistic	3.00
19-1012.00	Social	1.33
19-1012.00	Enterprising	2.33
19-1012.00	Conventional	4.33
19-1013.00	Realistic	5.67
19-1013.00	Investigative	7.00
19-1013.00	Artistic	3.67
19-1013.00	Social	3.00
19-1013.00	Enterprising	1.67
19-1013.00	Conventional	3.00
19-1020.01	Realistic	4.00
19-1020.01	Investigative	7.00
19-1020.01	Artistic	1.67
19-1020.01	Social	1.33
19-1020.01	Enterprising	3.00
19-1020.01	Conventional	3.33
19-1021.00	Realistic	4.67
19-1021.00	Investigative	7.00
19-1021.00	Artistic	5.00
19-1021.00	Social	1.33
19-1021.00	Enterprising	1.67
19-1021.00	Conventional	3.33
19-1022.00	Realistic	4.67
19-1022.00	Investigative	7.00
19-1022.00	Artistic	1.33
19-1022.00	Social	1.67
19-1022.00	Enterprising	2.00
19-1022.00	Conventional	3.00
19-1023.00	Realistic	5.33
19-1023.00	Investigative	7.00
19-1023.00	Artistic	2.33
19-1023.00	Social	1.67
19-1023.00	Enterprising	2.67
19-1023.00	Conventional	3.00
19-1029.01	Realistic	4.33
19-1029.01	Investigative	7.00
19-1029.01	Artistic	3.00
19-1029.01	Social	1.67
19-1029.01	Enterprising	1.00
19-1029.01	Conventional	5.00
19-1029.02	Realistic	5.33
19-1029.02	Investigative	7.00
19-1029.02	Artistic	4.67
19-1029.02	Social	1.33
19-1029.02	Enterprising	1.00
19-1029.02	Conventional	3.00
19-1029.03	Realistic	4.33
19-1029.03	Investigative	7.00
19-1029.03	Artistic	4.33
19-1029.03	Social	2.00
19-1029.03	Enterprising	1.33
19-1029.03	Conventional	3.00
19-1031.01	Realistic	5.33
19-1031.01	Investigative	5.33
19-1031.01	Artistic	2.00
19-1031.01	Social	2.00
19-1031.01	Enterprising	5.33
19-1031.01	Conventional	2.67
19-1031.02	Realistic	6.00
19-1031.02	Investigative	6.00
19-1031.02	Artistic	1.33
19-1031.02	Social	1.67
19-1031.02	Enterprising	4.67
19-1031.02	Conventional	3.67
19-1031.03	Realistic	4.67
19-1031.03	Investigative	3.67
19-1031.03	Artistic	4.33
19-1031.03	Social	7.00
19-1031.03	Enterprising	3.67
19-1031.03	Conventional	1.67
19-1032.00	Realistic	6.67
19-1032.00	Investigative	5.67
19-1032.00	Artistic	1.33
19-1032.00	Social	2.33
19-1032.00	Enterprising	4.00
19-1032.00	Conventional	3.00
19-1041.00	Realistic	3.67
19-1041.00	Investigative	7.00
19-1041.00	Artistic	1.67
19-1041.00	Social	4.00
19-1041.00	Enterprising	3.00
19-1041.00	Conventional	3.33
19-1042.00	Realistic	4.33
19-1042.00	Investigative	7.00
19-1042.00	Artistic	4.33
19-1042.00	Social	4.00
19-1042.00	Enterprising	1.67
19-1042.00	Conventional	2.33
19-2011.00	Realistic	4.67
19-2011.00	Investigative	7.00
19-2011.00	Artistic	5.00
19-2011.00	Social	2.67
19-2011.00	Enterprising	1.67
19-2011.00	Conventional	2.67
19-2012.00	Realistic	4.00
19-2012.00	Investigative	7.00
19-2012.00	Artistic	3.33
19-2012.00	Social	1.00
19-2012.00	Enterprising	2.00
19-2012.00	Conventional	3.00
19-2021.00	Realistic	4.33
19-2021.00	Investigative	6.67
19-2021.00	Artistic	2.33
19-2021.00	Social	3.67
19-2021.00	Enterprising	3.00
19-2021.00	Conventional	3.67
19-2031.00	Realistic	4.00
19-2031.00	Investigative	7.00
19-2031.00	Artistic	2.00
19-2031.00	Social	1.00
19-2031.00	Enterprising	2.00
19-2031.00	Conventional	3.33
19-2032.00	Realistic	5.00
19-2032.00	Investigative	7.00
19-2032.00	Artistic	2.67
19-2032.00	Social	1.33
19-2032.00	Enterprising	3.67
19-2032.00	Conventional	3.33
19-2041.00	Realistic	5.33
19-2041.00	Investigative	7.00
19-2041.00	Artistic	3.33
19-2041.00	Social	1.67
19-2041.00	Enterprising	1.67
19-2041.00	Conventional	4.00
19-2041.01	Realistic	2.00
19-2041.01	Investigative	6.00
19-2041.01	Artistic	2.67
19-2041.01	Social	2.00
19-2041.01	Enterprising	4.67
19-2041.01	Conventional	3.00
19-2041.02	Realistic	6.00
19-2041.02	Investigative	6.00
19-2041.02	Artistic	2.33
19-2041.02	Social	2.00
19-2041.02	Enterprising	5.33
19-2041.02	Conventional	2.33
19-2041.03	Realistic	2.33
19-2041.03	Investigative	6.67
19-2041.03	Artistic	2.33
19-2041.03	Social	1.67
19-2041.03	Enterprising	4.00
19-2041.03	Conventional	2.67
19-2042.00	Realistic	5.00
19-2042.00	Investigative	7.00
19-2042.00	Artistic	3.00
19-2042.00	Social	1.33
19-2042.00	Enterprising	2.33
19-2042.00	Conventional	3.33
19-2043.00	Realistic	5.33
19-2043.00	Investigative	7.00
19-2043.00	Artistic	3.00
19-2043.00	Social	1.33
19-2043.00	Enterprising	2.67
19-2043.00	Conventional	3.00
19-2099.01	Realistic	6.33
19-2099.01	Investigative	6.00
19-2099.01	Artistic	2.33
19-2099.01	Social	1.00
19-2099.01	Enterprising	1.67
19-2099.01	Conventional	3.33
19-3011.00	Realistic	2.33
19-3011.00	Investigative	7.00
19-3011.00	Artistic	2.67
19-3011.00	Social	1.67
19-3011.00	Enterprising	4.00
19-3011.00	Conventional	4.67
19-3011.01	Realistic	1.33
19-3011.01	Investigative	7.00
19-3011.01	Artistic	2.00
19-3011.01	Social	2.00
19-3011.01	Enterprising	3.67
19-3011.01	Conventional	3.33
19-3022.00	Realistic	1.00
19-3022.00	Investigative	6.67
19-3022.00	Artistic	2.00
19-3022.00	Social	1.33
19-3022.00	Enterprising	4.67
19-3022.00	Conventional	5.00
19-3031.01	Realistic	1.33
19-3031.01	Investigative	7.00
19-3031.01	Artistic	3.67
19-3031.01	Social	6.00
19-3031.01	Enterprising	1.67
19-3031.01	Conventional	3.67
19-3031.02	Realistic	1.67
19-3031.02	Investigative	6.67
19-3031.02	Artistic	5.00
19-3031.02	Social	6.00
19-3031.02	Enterprising	2.67
19-3031.02	Conventional	1.67
19-3031.03	Realistic	1.33
19-3031.03	Investigative	6.00
19-3031.03	Artistic	4.33
19-3031.03	Social	6.33
19-3031.03	Enterprising	2.67
19-3031.03	Conventional	2.33
19-3032.00	Realistic	1.00
19-3032.00	Investigative	6.33
19-3032.00	Artistic	4.00
19-3032.00	Social	4.00
19-3032.00	Enterprising	5.33
19-3032.00	Conventional	2.67
19-3039.01	Realistic	2.67
19-3039.01	Investigative	7.00
19-3039.01	Artistic	4.33
19-3039.01	Social	5.00
19-3039.01	Enterprising	1.00
19-3039.01	Conventional	2.00
19-3041.00	Realistic	1.67
19-3041.00	Investigative	7.00
19-3041.00	Artistic	5.33
19-3041.00	Social	4.67
19-3041.00	Enterprising	1.67
19-3041.00	Conventional	2.67
19-3051.00	Realistic	3.00
19-3051.00	Investigative	6.67
19-3051.00	Artistic	4.00
19-3051.00	Social	2.00
19-3051.00	Enterprising	4.67
19-3051.00	Conventional	3.00
19-3091.01	Realistic	2.67
19-3091.01	Investigative	6.67
19-3091.01	Artistic	5.33
19-3091.01	Social	3.67
19-3091.01	Enterprising	2.33
19-3091.01	Conventional	3.33
19-3091.02	Realistic	5.33
19-3091.02	Investigative	7.00
19-3091.02	Artistic	4.67
19-3091.02	Social	2.00
19-3091.02	Enterprising	2.33
19-3091.02	Conventional	3.67
19-3092.00	Realistic	4.67
19-3092.00	Investigative	7.00
19-3092.00	Artistic	4.00
19-3092.00	Social	2.67
19-3092.00	Enterprising	1.00
19-3092.00	Conventional	3.33
19-3093.00	Realistic	1.00
19-3093.00	Investigative	6.67
19-3093.00	Artistic	2.67
19-3093.00	Social	2.67
19-3093.00	Enterprising	2.67
19-3093.00	Conventional	3.00
19-3094.00	Realistic	1.67
19-3094.00	Investigative	7.00
19-3094.00	Artistic	5.33
19-3094.00	Social	4.33
19-3094.00	Enterprising	2.33
19-3094.00	Conventional	2.00
19-3099.01	Realistic	3.67
19-3099.01	Investigative	6.33
19-3099.01	Artistic	2.67
19-3099.01	Social	1.67
19-3099.01	Enterprising	2.33
19-3099.01	Conventional	4.00
19-4011.01	Realistic	6.33
19-4011.01	Investigative	5.00
19-4011.01	Artistic	1.00
19-4011.01	Social	1.33
19-4011.01	Enterprising	2.33
19-4011.01	Conventional	4.33
19-4011.02	Realistic	5.67
19-4011.02	Investigative	5.00
19-4011.02	Artistic	1.67
19-4011.02	Social	1.00
19-4011.02	Enterprising	1.67
19-4011.02	Conventional	5.00
19-4021.00	Realistic	6.33
19-4021.00	Investigative	5.00
19-4021.00	Artistic	1.33
19-4021.00	Social	1.67
19-4021.00	Enterprising	2.33
19-4021.00	Conventional	4.67
19-4031.00	Realistic	5.67
19-4031.00	Investigative	6.00
19-4031.00	Artistic	1.33
19-4031.00	Social	1.00
19-4031.00	Enterprising	2.00
19-4031.00	Conventional	4.00
19-4041.01	Realistic	5.67
19-4041.01	Investigative	5.00
19-4041.01	Artistic	1.33
19-4041.01	Social	1.33
19-4041.01	Enterprising	2.67
19-4041.01	Conventional	6.67
19-4041.02	Realistic	6.00
19-4041.02	Investigative	5.67
19-4041.02	Artistic	1.00
19-4041.02	Social	1.00
19-4041.02	Enterprising	1.67
19-4041.02	Conventional	3.67
19-4051.01	Realistic	7.00
19-4051.01	Investigative	5.00
19-4051.01	Artistic	1.67
19-4051.01	Social	1.33
19-4051.01	Enterprising	2.00
19-4051.01	Conventional	5.33
19-4051.02	Realistic	6.33
19-4051.02	Investigative	4.67
19-4051.02	Artistic	1.33
19-4051.02	Social	1.33
19-4051.02	Enterprising	3.33
19-4051.02	Conventional	5.33
19-4061.00	Realistic	1.67
19-4061.00	Investigative	5.00
19-4061.00	Artistic	2.33
19-4061.00	Social	2.67
19-4061.00	Enterprising	2.00
19-4061.00	Conventional	6.33
19-4061.01	Realistic	4.00
19-4061.01	Investigative	3.67
19-4061.01	Artistic	1.67
19-4061.01	Social	3.00
19-4061.01	Enterprising	3.67
19-4061.01	Conventional	7.00
19-4091.00	Realistic	5.33
19-4091.00	Investigative	6.00
19-4091.00	Artistic	1.33
19-4091.00	Social	1.33
19-4091.00	Enterprising	2.33
19-4091.00	Conventional	3.67
19-4092.00	Realistic	5.33
19-4092.00	Investigative	6.67
19-4092.00	Artistic	2.33
19-4092.00	Social	1.33
19-4092.00	Enterprising	1.33
19-4092.00	Conventional	5.00
19-4093.00	Realistic	5.33
19-4093.00	Investigative	4.00
19-4093.00	Artistic	2.67
19-4093.00	Social	3.33
19-4093.00	Enterprising	4.00
19-4093.00	Conventional	3.00
19-4099.01	Realistic	4.67
19-4099.01	Investigative	5.33
19-4099.01	Artistic	1.33
19-4099.01	Social	1.00
19-4099.01	Enterprising	2.67
19-4099.01	Conventional	6.33
19-4099.02	Realistic	6.00
19-4099.02	Investigative	5.67
19-4099.02	Artistic	1.67
19-4099.02	Social	1.00
19-4099.02	Enterprising	2.67
19-4099.02	Conventional	4.67
19-4099.03	Realistic	6.67
19-4099.03	Investigative	5.67
19-4099.03	Artistic	1.67
19-4099.03	Social	2.00
19-4099.03	Enterprising	2.00
19-4099.03	Conventional	4.67
21-1011.00	Realistic	1.33
21-1011.00	Investigative	4.00
21-1011.00	Artistic	4.33
21-1011.00	Social	7.00
21-1011.00	Enterprising	3.00
21-1011.00	Conventional	2.00
21-1012.00	Realistic	1.00
21-1012.00	Investigative	3.33
21-1012.00	Artistic	3.67
21-1012.00	Social	7.00
21-1012.00	Enterprising	3.67
21-1012.00	Conventional	3.33
21-1013.00	Realistic	1.00
21-1013.00	Investigative	4.00
21-1013.00	Artistic	4.33
21-1013.00	Social	7.00
21-1013.00	Enterprising	2.67
21-1013.00	Conventional	2.33
21-1014.00	Realistic	1.33
21-1014.00	Investigative	4.67
21-1014.00	Artistic	4.00
21-1014.00	Social	7.00
21-1014.00	Enterprising	2.33
21-1014.00	Conventional	2.33
21-1015.00	Realistic	1.00
21-1015.00	Investigative	4.00
21-1015.00	Artistic	3.67
21-1015.00	Social	7.00
21-1015.00	Enterprising	3.33
21-1015.00	Conventional	3.33
21-1021.00	Realistic	1.00
21-1021.00	Investigative	3.33
21-1021.00	Artistic	3.67
21-1021.00	Social	7.00
21-1021.00	Enterprising	4.33
21-1021.00	Conventional	3.00
21-1022.00	Realistic	1.00
21-1022.00	Investigative	4.00
21-1022.00	Artistic	3.33
21-1022.00	Social	7.00
21-1022.00	Enterprising	3.33
21-1022.00	Conventional	3.00
21-1023.00	Realistic	1.00
21-1023.00	Investigative	4.67
21-1023.00	Artistic	4.33
21-1023.00	Social	7.00
21-1023.00	Enterprising	2.67
21-1023.00	Conventional	3.00
21-1091.00	Realistic	1.67
21-1091.00	Investigative	3.33
21-1091.00	Artistic	3.33
21-1091.00	Social	7.00
21-1091.00	Enterprising	4.33
21-1091.00	Conventional	2.67
21-1092.00	Realistic	1.33
21-1092.00	Investigative	2.33
21-1092.00	Artistic	2.33
21-1092.00	Social	6.67
21-1092.00	Enterprising	5.00
21-1092.00	Conventional	4.67
21-1093.00	Realistic	1.67
21-1093.00	Investigative	2.00
21-1093.00	Artistic	1.67
21-1093.00	Social	6.00
21-1093.00	Enterprising	4.33
21-1093.00	Conventional	6.33
21-1094.00	Realistic	2.00
21-1094.00	Investigative	3.33
21-1094.00	Artistic	2.67
21-1094.00	Social	7.00
21-1094.00	Enterprising	3.33
21-1094.00	Conventional	3.00
21-2011.00	Realistic	1.00
21-2011.00	Investigative	2.00
21-2011.00	Artistic	4.67
21-2011.00	Social	7.00
21-2011.00	Enterprising	4.67
21-2011.00	Conventional	2.67
21-2021.00	Realistic	1.33
21-2021.00	Investigative	1.00
21-2021.00	Artistic	2.67
21-2021.00	Social	6.00
21-2021.00	Enterprising	7.00
21-2021.00	Conventional	4.00
23-1011.00	Realistic	1.33
23-1011.00	Investigative	4.67
23-1011.00	Artistic	4.00
23-1011.00	Social	3.33
23-1011.00	Enterprising	7.00
23-1011.00	Conventional	3.67
23-1012.00	Realistic	1.00
23-1012.00	Investigative	4.00
23-1012.00	Artistic	2.00
23-1012.00	Social	2.00
23-1012.00	Enterprising	5.33
23-1012.00	Conventional	5.67
23-1021.00	Realistic	1.00
23-1021.00	Investigative	5.00
23-1021.00	Artistic	3.00
23-1021.00	Social	4.00
23-1021.00	Enterprising	6.67
23-1021.00	Conventional	3.33
23-1022.00	Realistic	1.00
23-1022.00	Investigative	2.67
23-1022.00	Artistic	3.33
23-1022.00	Social	6.67
23-1022.00	Enterprising	6.33
23-1022.00	Conventional	4.00
23-1023.00	Realistic	1.33
23-1023.00	Investigative	3.67
23-1023.00	Artistic	2.00
23-1023.00	Social	5.67
23-1023.00	Enterprising	7.00
23-1023.00	Conventional	4.00
23-2011.00	Realistic	1.00
23-2011.00	Investigative	5.00
23-2011.00	Artistic	1.67
23-2011.00	Social	2.00
23-2011.00	Enterprising	4.33
23-2011.00	Conventional	5.67
23-2091.00	Realistic	1.33
