onet	ks	element_name	level	importance
13-2021.02	skill	Troubleshooting	0.50	1.50
13-2021.02	skill	Repairing	0.00	1.00
13-2021.02	skill	Quality Control Analysis	1.25	1.62
13-2021.02	skill	Judgment and Decision Making	3.88	3.75
13-2021.02	skill	Systems Analysis	3.00	2.62
13-2021.02	skill	Systems Evaluation	2.12	2.12
13-2021.02	skill	Time Management	2.88	3.12
13-2021.02	skill	Management of Financial Resources	1.75	2.00
13-2021.02	skill	Management of Material Resources	1.62	2.00
13-2021.02	skill	Management of Personnel Resources	1.62	1.88
13-2031.00	skill	Reading Comprehension	4.00	3.88
13-2031.00	skill	Active Listening	4.00	4.00
13-2031.00	skill	Writing	3.75	3.25
13-2031.00	skill	Speaking	3.38	3.75
13-2031.00	skill	Mathematics	3.50	3.75
13-2031.00	skill	Science	0.25	1.25
13-2031.00	skill	Critical Thinking	3.88	3.75
13-2031.00	skill	Active Learning	3.38	3.25
13-2031.00	skill	Learning Strategies	2.75	2.88
13-2031.00	skill	Monitoring	3.38	3.12
13-2031.00	skill	Social Perceptiveness	3.00	3.00
13-2031.00	skill	Coordination	3.00	3.00
13-2031.00	skill	Persuasion	2.88	2.50
13-2031.00	skill	Negotiation	2.75	2.50
13-2031.00	skill	Instructing	2.88	2.88
13-2031.00	skill	Service Orientation	2.75	2.88
13-2031.00	skill	Complex Problem Solving	3.50	3.62
13-2031.00	skill	Operations Analysis	3.00	2.62
13-2031.00	skill	Technology Design	0.88	1.75
13-2031.00	skill	Equipment Selection	0.00	1.00
13-2031.00	skill	Installation	0.00	1.00
13-2031.00	skill	Programming	1.12	1.88
13-2031.00	skill	Operation Monitoring	1.00	1.88
13-2031.00	skill	Operation and Control	0.00	1.00
13-2031.00	skill	Equipment Maintenance	0.00	1.00
13-2031.00	skill	Troubleshooting	0.00	1.00
13-2031.00	skill	Repairing	0.00	1.00
13-2031.00	skill	Quality Control Analysis	0.50	1.25
13-2031.00	skill	Judgment and Decision Making	3.62	3.50
13-2031.00	skill	Systems Analysis	3.50	3.12
13-2031.00	skill	Systems Evaluation	3.00	2.88
13-2031.00	skill	Time Management	3.00	3.00
13-2031.00	skill	Management of Financial Resources	3.75	3.12
13-2031.00	skill	Management of Material Resources	2.00	2.25
13-2031.00	skill	Management of Personnel Resources	2.75	2.75
13-2041.00	skill	Reading Comprehension	4.12	3.50
13-2041.00	skill	Active Listening	4.12	3.50
13-2041.00	skill	Writing	3.88	3.12
13-2041.00	skill	Speaking	4.00	3.50
13-2041.00	skill	Mathematics	4.00	3.38
13-2041.00	skill	Science	1.00	1.50
13-2041.00	skill	Critical Thinking	4.38	4.00
13-2041.00	skill	Active Learning	3.88	3.62
13-2041.00	skill	Learning Strategies	2.62	2.38
13-2041.00	skill	Monitoring	3.25	2.75
13-2041.00	skill	Social Perceptiveness	2.75	2.75
13-2041.00	skill	Coordination	2.62	2.75
13-2041.00	skill	Persuasion	3.12	2.75
13-2041.00	skill	Negotiation	3.12	2.62
13-2041.00	skill	Instructing	2.62	2.25
13-2041.00	skill	Service Orientation	3.12	3.00
13-2041.00	skill	Complex Problem Solving	3.38	3.25
13-2041.00	skill	Operations Analysis	2.75	2.62
13-2041.00	skill	Technology Design	0.00	1.00
13-2041.00	skill	Equipment Selection	0.00	1.00
13-2041.00	skill	Installation	0.00	1.00
13-2041.00	skill	Programming	1.88	2.00
13-2041.00	skill	Operation Monitoring	1.50	1.88
13-2041.00	skill	Operation and Control	0.75	1.50
13-2041.00	skill	Equipment Maintenance	0.00	1.00
13-2041.00	skill	Troubleshooting	0.00	1.00
13-2041.00	skill	Repairing	0.00	1.00
13-2041.00	skill	Quality Control Analysis	0.75	1.50
13-2041.00	skill	Judgment and Decision Making	3.88	3.50
13-2041.00	skill	Systems Analysis	3.25	2.88
13-2041.00	skill	Systems Evaluation	3.50	2.75
13-2041.00	skill	Time Management	3.00	2.88
13-2041.00	skill	Management of Financial Resources	2.25	2.25
13-2041.00	skill	Management of Material Resources	1.12	1.88
13-2041.00	skill	Management of Personnel Resources	2.00	2.12
13-2051.00	skill	Reading Comprehension	4.12	4.00
13-2051.00	skill	Active Listening	3.88	3.88
13-2051.00	skill	Writing	4.12	3.75
13-2051.00	skill	Speaking	3.75	3.75
13-2051.00	skill	Mathematics	4.12	3.88
13-2051.00	skill	Science	0.75	1.62
13-2051.00	skill	Critical Thinking	4.12	4.12
13-2051.00	skill	Active Learning	3.88	3.50
13-2051.00	skill	Learning Strategies	2.75	2.50
13-2051.00	skill	Monitoring	3.62	3.25
13-2051.00	skill	Social Perceptiveness	2.88	2.75
13-2051.00	skill	Coordination	2.50	2.38
13-2051.00	skill	Persuasion	3.25	2.88
13-2051.00	skill	Negotiation	2.38	2.38
13-2051.00	skill	Instructing	2.38	2.25
13-2051.00	skill	Service Orientation	2.38	2.50
13-2051.00	skill	Complex Problem Solving	3.62	3.50
13-2051.00	skill	Operations Analysis	2.12	2.25
13-2051.00	skill	Technology Design	0.62	1.62
13-2051.00	skill	Equipment Selection	0.00	1.00
13-2051.00	skill	Installation	0.00	1.00
13-2051.00	skill	Programming	1.12	1.88
13-2051.00	skill	Operation Monitoring	0.75	1.62
13-2051.00	skill	Operation and Control	0.25	1.12
13-2051.00	skill	Equipment Maintenance	0.00	1.00
13-2051.00	skill	Troubleshooting	0.38	1.38
13-2051.00	skill	Repairing	0.00	1.00
13-2051.00	skill	Quality Control Analysis	1.00	1.75
13-2051.00	skill	Judgment and Decision Making	3.75	3.62
13-2051.00	skill	Systems Analysis	3.62	3.12
13-2051.00	skill	Systems Evaluation	3.75	3.12
13-2051.00	skill	Time Management	2.75	2.88
13-2051.00	skill	Management of Financial Resources	2.12	2.25
13-2051.00	skill	Management of Material Resources	0.75	1.75
13-2051.00	skill	Management of Personnel Resources	1.88	1.88
13-2052.00	skill	Reading Comprehension	4.25	4.00
13-2052.00	skill	Active Listening	4.00	4.00
13-2052.00	skill	Writing	3.88	3.62
13-2052.00	skill	Speaking	4.12	4.00
13-2052.00	skill	Mathematics	3.75	3.38
13-2052.00	skill	Science	0.50	1.50
13-2052.00	skill	Critical Thinking	4.00	4.00
13-2052.00	skill	Active Learning	3.38	3.25
13-2052.00	skill	Learning Strategies	2.62	2.62
13-2052.00	skill	Monitoring	4.00	3.12
13-2052.00	skill	Social Perceptiveness	3.38	3.50
13-2052.00	skill	Coordination	2.88	3.00
13-2052.00	skill	Persuasion	3.62	3.50
13-2052.00	skill	Negotiation	2.88	2.75
13-2052.00	skill	Instructing	3.12	3.00
13-2052.00	skill	Service Orientation	3.75	3.75
13-2052.00	skill	Complex Problem Solving	3.50	3.62
13-2052.00	skill	Operations Analysis	3.12	2.88
13-2052.00	skill	Technology Design	0.62	1.62
13-2052.00	skill	Equipment Selection	0.00	1.00
13-2052.00	skill	Installation	0.00	1.00
13-2052.00	skill	Programming	0.88	1.62
13-2052.00	skill	Operation Monitoring	0.75	1.75
13-2052.00	skill	Operation and Control	0.00	1.00
13-2052.00	skill	Equipment Maintenance	0.00	1.00
13-2052.00	skill	Troubleshooting	0.00	1.00
13-2052.00	skill	Repairing	0.00	1.00
13-2052.00	skill	Quality Control Analysis	0.88	1.62
13-2052.00	skill	Judgment and Decision Making	3.75	4.00
13-2052.00	skill	Systems Analysis	3.38	3.25
13-2052.00	skill	Systems Evaluation	3.38	3.25
13-2052.00	skill	Time Management	2.88	3.12
13-2052.00	skill	Management of Financial Resources	3.25	3.25
13-2052.00	skill	Management of Material Resources	0.88	1.75
13-2052.00	skill	Management of Personnel Resources	2.00	2.25
13-2053.00	skill	Reading Comprehension	3.75	3.88
13-2053.00	skill	Active Listening	4.00	3.88
13-2053.00	skill	Writing	3.88	3.62
13-2053.00	skill	Speaking	3.75	3.75
13-2053.00	skill	Mathematics	2.88	2.88
13-2053.00	skill	Science	1.00	1.50
13-2053.00	skill	Critical Thinking	3.75	3.75
13-2053.00	skill	Active Learning	3.25	3.12
13-2053.00	skill	Learning Strategies	2.62	2.75
13-2053.00	skill	Monitoring	3.12	2.88
13-2053.00	skill	Social Perceptiveness	3.12	3.25
13-2053.00	skill	Coordination	2.88	3.00
13-2053.00	skill	Persuasion	2.62	2.62
13-2053.00	skill	Negotiation	2.75	2.62
13-2053.00	skill	Instructing	2.88	2.62
13-2053.00	skill	Service Orientation	3.25	2.88
13-2053.00	skill	Complex Problem Solving	3.12	3.38
13-2053.00	skill	Operations Analysis	2.12	2.38
13-2053.00	skill	Technology Design	0.62	1.50
13-2053.00	skill	Equipment Selection	0.00	1.00
13-2053.00	skill	Installation	0.00	1.00
13-2053.00	skill	Programming	0.50	1.38
13-2053.00	skill	Operation Monitoring	1.12	1.75
13-2053.00	skill	Operation and Control	0.00	1.00
13-2053.00	skill	Equipment Maintenance	0.00	1.00
13-2053.00	skill	Troubleshooting	0.00	1.00
13-2053.00	skill	Repairing	0.00	1.00
13-2053.00	skill	Quality Control Analysis	0.25	1.12
13-2053.00	skill	Judgment and Decision Making	3.88	3.88
13-2053.00	skill	Systems Analysis	2.75	3.00
13-2053.00	skill	Systems Evaluation	2.88	2.88
13-2053.00	skill	Time Management	3.00	3.38
13-2053.00	skill	Management of Financial Resources	1.25	1.75
13-2053.00	skill	Management of Material Resources	0.88	1.50
13-2053.00	skill	Management of Personnel Resources	2.12	2.50
13-2061.00	skill	Reading Comprehension	4.25	4.25
13-2061.00	skill	Active Listening	4.00	4.12
13-2061.00	skill	Writing	4.00	3.88
13-2061.00	skill	Speaking	4.12	3.88
13-2061.00	skill	Mathematics	3.50	3.62
13-2061.00	skill	Science	0.25	1.25
13-2061.00	skill	Critical Thinking	4.50	4.12
13-2061.00	skill	Active Learning	4.00	3.88
13-2061.00	skill	Learning Strategies	3.88	3.62
13-2061.00	skill	Monitoring	3.88	3.75
13-2061.00	skill	Social Perceptiveness	3.75	3.62
13-2061.00	skill	Coordination	3.75	3.75
13-2061.00	skill	Persuasion	3.38	3.00
13-2061.00	skill	Negotiation	3.25	3.25
13-2061.00	skill	Instructing	3.75	3.62
13-2061.00	skill	Service Orientation	3.00	3.00
13-2061.00	skill	Complex Problem Solving	4.00	3.75
13-2061.00	skill	Operations Analysis	3.12	3.12
13-2061.00	skill	Technology Design	0.50	1.38
13-2061.00	skill	Equipment Selection	0.00	1.00
13-2061.00	skill	Installation	0.00	1.00
13-2061.00	skill	Programming	1.62	1.88
13-2061.00	skill	Operation Monitoring	1.50	1.88
13-2061.00	skill	Operation and Control	0.38	1.25
13-2061.00	skill	Equipment Maintenance	0.00	1.00
13-2061.00	skill	Troubleshooting	0.00	1.00
13-2061.00	skill	Repairing	0.00	1.00
13-2061.00	skill	Quality Control Analysis	2.25	2.12
13-2061.00	skill	Judgment and Decision Making	4.12	3.75
13-2061.00	skill	Systems Analysis	3.88	3.75
13-2061.00	skill	Systems Evaluation	3.88	3.50
13-2061.00	skill	Time Management	4.00	3.62
13-2061.00	skill	Management of Financial Resources	1.25	1.75
13-2061.00	skill	Management of Material Resources	0.62	1.50
13-2061.00	skill	Management of Personnel Resources	3.88	3.88
13-2071.00	skill	Reading Comprehension	3.88	3.75
13-2071.00	skill	Active Listening	3.75	3.88
13-2071.00	skill	Writing	3.62	3.88
13-2071.00	skill	Speaking	4.00	3.88
13-2071.00	skill	Mathematics	3.00	3.12
13-2071.00	skill	Science	0.00	1.00
13-2071.00	skill	Critical Thinking	3.75	3.75
13-2071.00	skill	Active Learning	3.50	3.62
13-2071.00	skill	Learning Strategies	3.25	3.12
13-2071.00	skill	Monitoring	3.12	3.38
13-2071.00	skill	Social Perceptiveness	3.62	3.38
13-2071.00	skill	Coordination	3.12	3.25
13-2071.00	skill	Persuasion	3.50	3.50
13-2071.00	skill	Negotiation	3.25	3.38
13-2071.00	skill	Instructing	2.88	3.25
13-2071.00	skill	Service Orientation	3.50	3.62
13-2071.00	skill	Complex Problem Solving	3.25	3.50
13-2071.00	skill	Operations Analysis	1.00	1.50
13-2071.00	skill	Technology Design	0.88	1.62
13-2071.00	skill	Equipment Selection	0.00	1.00
13-2071.00	skill	Installation	0.38	1.25
13-2071.00	skill	Programming	1.25	1.75
13-2071.00	skill	Operation Monitoring	0.00	1.00
13-2071.00	skill	Operation and Control	0.00	1.00
13-2071.00	skill	Equipment Maintenance	0.00	1.00
13-2071.00	skill	Troubleshooting	0.38	1.25
13-2071.00	skill	Repairing	0.38	1.25
13-2071.00	skill	Quality Control Analysis	0.50	1.38
13-2071.00	skill	Judgment and Decision Making	3.38	3.50
13-2071.00	skill	Systems Analysis	3.00	2.88
13-2071.00	skill	Systems Evaluation	3.00	3.12
13-2071.00	skill	Time Management	3.12	3.12
13-2071.00	skill	Management of Financial Resources	0.38	1.25
13-2071.00	skill	Management of Material Resources	0.38	1.12
13-2071.00	skill	Management of Personnel Resources	2.75	2.38
13-2071.01	skill	Reading Comprehension	4.00	4.00
13-2071.01	skill	Active Listening	4.00	4.00
13-2071.01	skill	Writing	3.75	3.62
13-2071.01	skill	Speaking	3.88	4.00
13-2071.01	skill	Mathematics	3.25	3.25
13-2071.01	skill	Science	0.50	1.50
13-2071.01	skill	Critical Thinking	4.00	4.00
13-2071.01	skill	Active Learning	3.62	3.62
13-2071.01	skill	Learning Strategies	3.50	3.38
13-2071.01	skill	Monitoring	3.38	2.88
13-2071.01	skill	Social Perceptiveness	3.50	3.62
13-2071.01	skill	Coordination	3.12	3.38
13-2071.01	skill	Persuasion	3.12	3.00
13-2071.01	skill	Negotiation	3.12	3.00
13-2071.01	skill	Instructing	3.50	3.38
13-2071.01	skill	Service Orientation	3.50	3.50
13-2071.01	skill	Complex Problem Solving	3.00	3.00
13-2071.01	skill	Operations Analysis	2.00	2.12
13-2071.01	skill	Technology Design	0.62	1.62
13-2071.01	skill	Equipment Selection	0.00	1.00
13-2071.01	skill	Installation	0.00	1.00
13-2071.01	skill	Programming	0.88	1.75
13-2071.01	skill	Operation Monitoring	0.50	1.25
13-2071.01	skill	Operation and Control	0.88	1.50
13-2071.01	skill	Equipment Maintenance	0.00	1.00
13-2071.01	skill	Troubleshooting	0.00	1.00
13-2071.01	skill	Repairing	0.00	1.00
13-2071.01	skill	Quality Control Analysis	0.62	1.50
13-2071.01	skill	Judgment and Decision Making	3.75	3.50
13-2071.01	skill	Systems Analysis	3.00	3.00
13-2071.01	skill	Systems Evaluation	2.88	2.75
13-2071.01	skill	Time Management	3.38	3.12
13-2071.01	skill	Management of Financial Resources	1.50	2.12
13-2071.01	skill	Management of Material Resources	0.75	1.62
13-2071.01	skill	Management of Personnel Resources	2.75	2.62
13-2072.00	skill	Reading Comprehension	4.00	3.88
13-2072.00	skill	Active Listening	4.00	4.00
13-2072.00	skill	Writing	3.50	3.25
13-2072.00	skill	Speaking	4.00	4.00
13-2072.00	skill	Mathematics	3.38	3.12
13-2072.00	skill	Science	0.12	1.12
13-2072.00	skill	Critical Thinking	4.00	3.75
13-2072.00	skill	Active Learning	3.12	3.12
13-2072.00	skill	Learning Strategies	2.62	2.75
13-2072.00	skill	Monitoring	3.12	3.00
13-2072.00	skill	Social Perceptiveness	3.00	3.25
13-2072.00	skill	Coordination	3.00	3.00
13-2072.00	skill	Persuasion	3.12	2.88
13-2072.00	skill	Negotiation	3.12	2.88
13-2072.00	skill	Instructing	3.00	3.00
13-2072.00	skill	Service Orientation	3.75	3.38
13-2072.00	skill	Complex Problem Solving	3.25	3.12
13-2072.00	skill	Operations Analysis	1.75	1.75
13-2072.00	skill	Technology Design	0.75	1.50
13-2072.00	skill	Equipment Selection	0.00	1.00
13-2072.00	skill	Installation	0.00	1.00
13-2072.00	skill	Programming	0.75	1.50
13-2072.00	skill	Operation Monitoring	0.50	1.50
13-2072.00	skill	Operation and Control	0.25	1.25
13-2072.00	skill	Equipment Maintenance	0.00	1.00
13-2072.00	skill	Troubleshooting	0.00	1.00
13-2072.00	skill	Repairing	0.00	1.00
13-2072.00	skill	Quality Control Analysis	0.62	1.50
13-2072.00	skill	Judgment and Decision Making	3.88	3.88
13-2072.00	skill	Systems Analysis	2.12	2.50
13-2072.00	skill	Systems Evaluation	2.25	2.12
13-2072.00	skill	Time Management	2.88	3.00
13-2072.00	skill	Management of Financial Resources	1.25	1.75
13-2072.00	skill	Management of Material Resources	0.88	1.62
13-2072.00	skill	Management of Personnel Resources	2.75	2.88
13-2081.00	skill	Reading Comprehension	4.12	4.00
13-2081.00	skill	Active Listening	4.00	4.00
13-2081.00	skill	Writing	3.25	3.38
13-2081.00	skill	Speaking	3.75	3.88
13-2081.00	skill	Mathematics	3.25	3.12
13-2081.00	skill	Science	0.00	1.00
13-2081.00	skill	Critical Thinking	3.62	3.88
13-2081.00	skill	Active Learning	3.62	3.25
13-2081.00	skill	Learning Strategies	3.00	2.88
13-2081.00	skill	Monitoring	2.88	3.00
13-2081.00	skill	Social Perceptiveness	3.00	3.12
13-2081.00	skill	Coordination	3.00	3.00
13-2081.00	skill	Persuasion	3.12	3.00
13-2081.00	skill	Negotiation	3.00	2.88
13-2081.00	skill	Instructing	2.75	2.88
13-2081.00	skill	Service Orientation	3.00	3.00
13-2081.00	skill	Complex Problem Solving	3.00	3.00
13-2081.00	skill	Operations Analysis	1.50	1.88
13-2081.00	skill	Technology Design	0.50	1.50
13-2081.00	skill	Equipment Selection	0.00	1.00
13-2081.00	skill	Installation	0.00	1.00
13-2081.00	skill	Programming	0.88	1.62
13-2081.00	skill	Operation Monitoring	0.75	1.62
13-2081.00	skill	Operation and Control	0.12	1.12
13-2081.00	skill	Equipment Maintenance	0.00	1.00
13-2081.00	skill	Troubleshooting	0.00	1.00
13-2081.00	skill	Repairing	0.00	1.00
13-2081.00	skill	Quality Control Analysis	1.12	1.75
13-2081.00	skill	Judgment and Decision Making	3.38	3.00
13-2081.00	skill	Systems Analysis	2.38	2.38
13-2081.00	skill	Systems Evaluation	2.50	2.38
13-2081.00	skill	Time Management	2.75	3.00
13-2081.00	skill	Management of Financial Resources	1.38	1.88
13-2081.00	skill	Management of Material Resources	0.75	1.75
13-2081.00	skill	Management of Personnel Resources	1.88	2.38
13-2082.00	skill	Reading Comprehension	4.00	3.88
13-2082.00	skill	Active Listening	3.88	3.88
13-2082.00	skill	Writing	3.12	3.12
13-2082.00	skill	Speaking	3.50	3.25
13-2082.00	skill	Mathematics	3.12	3.12
13-2082.00	skill	Science	0.00	1.00
13-2082.00	skill	Critical Thinking	3.62	3.50
13-2082.00	skill	Active Learning	3.12	3.00
13-2082.00	skill	Learning Strategies	3.00	2.62
13-2082.00	skill	Monitoring	3.00	3.00
13-2082.00	skill	Social Perceptiveness	2.88	3.00
13-2082.00	skill	Coordination	2.75	2.75
13-2082.00	skill	Persuasion	2.75	2.75
13-2082.00	skill	Negotiation	2.50	2.62
13-2082.00	skill	Instructing	2.88	2.75
13-2082.00	skill	Service Orientation	3.12	3.00
13-2082.00	skill	Complex Problem Solving	3.12	3.12
13-2082.00	skill	Operations Analysis	1.88	2.12
13-2082.00	skill	Technology Design	0.25	1.25
13-2082.00	skill	Equipment Selection	0.00	1.00
13-2082.00	skill	Installation	0.00	1.00
13-2082.00	skill	Programming	0.62	1.50
13-2082.00	skill	Operation Monitoring	0.25	1.25
13-2082.00	skill	Operation and Control	0.00	1.00
13-2082.00	skill	Equipment Maintenance	0.00	1.00
13-2082.00	skill	Troubleshooting	0.00	1.00
13-2082.00	skill	Repairing	0.00	1.00
13-2082.00	skill	Quality Control Analysis	1.25	2.00
13-2082.00	skill	Judgment and Decision Making	2.88	3.12
13-2082.00	skill	Systems Analysis	2.62	2.50
13-2082.00	skill	Systems Evaluation	2.25	2.25
13-2082.00	skill	Time Management	3.00	2.88
13-2082.00	skill	Management of Financial Resources	1.00	1.88
13-2082.00	skill	Management of Material Resources	0.75	1.75
13-2082.00	skill	Management of Personnel Resources	1.75	2.25
13-2099.01	skill	Reading Comprehension	4.50	4.00
13-2099.01	skill	Active Listening	4.00	3.75
13-2099.01	skill	Writing	3.88	3.38
13-2099.01	skill	Speaking	3.75	3.75
13-2099.01	skill	Mathematics	4.88	4.25
13-2099.01	skill	Science	1.50	1.88
13-2099.01	skill	Critical Thinking	4.62	4.12
13-2099.01	skill	Active Learning	4.00	3.50
13-2099.01	skill	Learning Strategies	3.25	3.00
13-2099.01	skill	Monitoring	3.12	3.00
13-2099.01	skill	Social Perceptiveness	3.00	3.00
13-2099.01	skill	Coordination	3.38	3.12
13-2099.01	skill	Persuasion	3.50	3.25
13-2099.01	skill	Negotiation	2.88	2.62
13-2099.01	skill	Instructing	3.38	3.12
13-2099.01	skill	Service Orientation	2.62	2.50
13-2099.01	skill	Complex Problem Solving	4.12	3.88
13-2099.01	skill	Operations Analysis	1.50	1.88
13-2099.01	skill	Technology Design	1.25	1.75
13-2099.01	skill	Equipment Selection	0.12	1.12
13-2099.01	skill	Installation	0.00	1.00
13-2099.01	skill	Programming	2.50	2.75
13-2099.01	skill	Operation Monitoring	1.12	1.75
13-2099.01	skill	Operation and Control	0.25	1.25
13-2099.01	skill	Equipment Maintenance	0.00	1.00
13-2099.01	skill	Troubleshooting	0.12	1.12
13-2099.01	skill	Repairing	0.00	1.00
13-2099.01	skill	Quality Control Analysis	1.50	1.88
13-2099.01	skill	Judgment and Decision Making	4.12	3.62
13-2099.01	skill	Systems Analysis	3.75	3.25
13-2099.01	skill	Systems Evaluation	3.75	3.25
13-2099.01	skill	Time Management	3.12	3.00
13-2099.01	skill	Management of Financial Resources	2.88	2.75
13-2099.01	skill	Management of Material Resources	1.50	1.88
13-2099.01	skill	Management of Personnel Resources	2.50	2.62
13-2099.02	skill	Reading Comprehension	4.50	4.00
13-2099.02	skill	Active Listening	4.12	3.88
13-2099.02	skill	Writing	4.25	3.62
13-2099.02	skill	Speaking	4.00	3.75
13-2099.02	skill	Mathematics	4.38	3.62
13-2099.02	skill	Science	0.12	1.12
13-2099.02	skill	Critical Thinking	4.38	3.88
13-2099.02	skill	Active Learning	4.00	3.25
13-2099.02	skill	Learning Strategies	2.88	2.62
13-2099.02	skill	Monitoring	3.75	3.25
13-2099.02	skill	Social Perceptiveness	2.88	3.00
13-2099.02	skill	Coordination	3.12	3.00
13-2099.02	skill	Persuasion	3.50	3.00
13-2099.02	skill	Negotiation	2.88	2.62
13-2099.02	skill	Instructing	3.25	2.62
13-2099.02	skill	Service Orientation	2.88	2.88
13-2099.02	skill	Complex Problem Solving	3.75	3.38
13-2099.02	skill	Operations Analysis	1.50	1.75
13-2099.02	skill	Technology Design	1.38	1.88
13-2099.02	skill	Equipment Selection	0.50	1.25
13-2099.02	skill	Installation	0.00	1.00
13-2099.02	skill	Programming	2.50	2.38
13-2099.02	skill	Operation Monitoring	1.50	2.00
13-2099.02	skill	Operation and Control	0.38	1.25
13-2099.02	skill	Equipment Maintenance	0.00	1.00
13-2099.02	skill	Troubleshooting	0.12	1.12
13-2099.02	skill	Repairing	0.00	1.00
13-2099.02	skill	Quality Control Analysis	1.25	1.75
13-2099.02	skill	Judgment and Decision Making	3.88	3.38
13-2099.02	skill	Systems Analysis	4.25	3.75
13-2099.02	skill	Systems Evaluation	4.00	3.62
13-2099.02	skill	Time Management	2.75	3.12
13-2099.02	skill	Management of Financial Resources	3.00	2.38
13-2099.02	skill	Management of Material Resources	2.75	2.50
13-2099.02	skill	Management of Personnel Resources	2.75	2.75
13-2099.04	skill	Reading Comprehension	4.25	4.00
13-2099.04	skill	Active Listening	4.12	4.00
13-2099.04	skill	Writing	4.12	4.12
13-2099.04	skill	Speaking	4.00	4.00
13-2099.04	skill	Mathematics	3.00	2.88
13-2099.04	skill	Science	0.25	1.25
13-2099.04	skill	Critical Thinking	4.12	4.00
13-2099.04	skill	Active Learning	3.50	3.88
13-2099.04	skill	Learning Strategies	3.00	3.00
13-2099.04	skill	Monitoring	3.12	3.38
13-2099.04	skill	Social Perceptiveness	3.38	3.38
13-2099.04	skill	Coordination	3.75	3.62
13-2099.04	skill	Persuasion	3.38	3.25
13-2099.04	skill	Negotiation	3.25	3.25
13-2099.04	skill	Instructing	3.12	3.00
13-2099.04	skill	Service Orientation	3.00	3.00
13-2099.04	skill	Complex Problem Solving	3.50	3.75
13-2099.04	skill	Operations Analysis	0.38	1.25
13-2099.04	skill	Technology Design	0.38	1.25
13-2099.04	skill	Equipment Selection	0.00	1.00
13-2099.04	skill	Installation	0.00	1.00
13-2099.04	skill	Programming	1.00	1.75
13-2099.04	skill	Operation Monitoring	2.00	2.00
13-2099.04	skill	Operation and Control	1.12	2.00
13-2099.04	skill	Equipment Maintenance	0.00	1.00
13-2099.04	skill	Troubleshooting	0.00	1.00
13-2099.04	skill	Repairing	0.00	1.00
13-2099.04	skill	Quality Control Analysis	0.38	1.25
13-2099.04	skill	Judgment and Decision Making	3.88	3.75
13-2099.04	skill	Systems Analysis	3.25	2.88
13-2099.04	skill	Systems Evaluation	3.12	2.88
13-2099.04	skill	Time Management	3.25	3.25
13-2099.04	skill	Management of Financial Resources	1.88	2.00
13-2099.04	skill	Management of Material Resources	1.88	2.00
13-2099.04	skill	Management of Personnel Resources	3.12	3.12
15-1111.00	skill	Reading Comprehension	4.50	3.50
15-1111.00	skill	Active Listening	4.12	3.50
15-1111.00	skill	Writing	4.25	3.38
15-1111.00	skill	Speaking	4.38	3.38
15-1111.00	skill	Mathematics	4.38	3.12
15-1111.00	skill	Science	3.38	3.12
15-1111.00	skill	Critical Thinking	4.25	3.75
15-1111.00	skill	Active Learning	4.88	3.38
15-1111.00	skill	Learning Strategies	3.62	2.75
15-1111.00	skill	Monitoring	4.38	3.12
15-1111.00	skill	Social Perceptiveness	3.25	3.00
15-1111.00	skill	Coordination	3.62	3.00
15-1111.00	skill	Persuasion	3.75	2.75
15-1111.00	skill	Negotiation	2.88	2.50
15-1111.00	skill	Instructing	3.50	2.62
15-1111.00	skill	Service Orientation	2.75	2.75
15-1111.00	skill	Complex Problem Solving	4.00	3.88
15-1111.00	skill	Operations Analysis	3.75	3.25
15-1111.00	skill	Technology Design	4.12	2.88
15-1111.00	skill	Equipment Selection	1.88	1.62
15-1111.00	skill	Installation	0.00	1.00
15-1111.00	skill	Programming	4.25	3.50
15-1111.00	skill	Operation Monitoring	2.50	2.50
15-1111.00	skill	Operation and Control	1.38	1.75
15-1111.00	skill	Equipment Maintenance	0.62	1.12
15-1111.00	skill	Troubleshooting	3.00	2.50
15-1111.00	skill	Repairing	0.00	1.00
15-1111.00	skill	Quality Control Analysis	2.38	1.75
15-1111.00	skill	Judgment and Decision Making	4.38	3.62
15-1111.00	skill	Systems Analysis	4.38	3.75
15-1111.00	skill	Systems Evaluation	4.88	3.75
15-1111.00	skill	Time Management	4.12	3.50
15-1111.00	skill	Management of Financial Resources	3.50	2.50
15-1111.00	skill	Management of Material Resources	2.62	2.38
15-1111.00	skill	Management of Personnel Resources	4.00	3.00
15-1121.00	skill	Reading Comprehension	4.38	3.88
15-1121.00	skill	Active Listening	4.00	3.88
15-1121.00	skill	Writing	4.00	3.50
15-1121.00	skill	Speaking	4.00	3.75
15-1121.00	skill	Mathematics	3.50	3.00
15-1121.00	skill	Science	2.12	2.25
15-1121.00	skill	Critical Thinking	4.25	3.88
15-1121.00	skill	Active Learning	4.12	3.50
15-1121.00	skill	Learning Strategies	3.12	3.00
15-1121.00	skill	Monitoring	4.00	3.25
15-1121.00	skill	Social Perceptiveness	3.00	3.00
15-1121.00	skill	Coordination	3.38	3.00
15-1121.00	skill	Persuasion	2.88	2.75
15-1121.00	skill	Negotiation	2.62	2.50
15-1121.00	skill	Instructing	3.88	2.88
15-1121.00	skill	Service Orientation	3.00	2.88
15-1121.00	skill	Complex Problem Solving	3.88	3.38
15-1121.00	skill	Operations Analysis	3.62	3.00
15-1121.00	skill	Technology Design	3.38	2.88
